Crop,SeedVariety,Season,SoilType,Soil_pH,WaterRequirement,TemperatureC,RainfallMM,HumidityPercent,State,SowingMonth,HarvestMonth,HarvestTimeDays,CommonDisease,PestControl,FertilizerType,FertilizerKgPerAcre,AverageMarketPriceINR_perKg, 
Apple,KBSH 1,Zaid,Black Soil,6.3,High,30,1060,88,Odisha,December,August,199,Wilt,Crop Rotation,Nitrogen,51,72,
Apple,RT 46,Kharif,Alluvial,5.7,Low,31,2111,75,Karnataka,July,August,183,Rust,Chemical Pesticide,NPK,120,26,
Apple,GHB 558,Kharif,Loamy,6.8,Low,38,1014,57,Punjab,October,December,81,Mildew,Biological Control,Potash,102,61,
Apple,Golden Acre,Annual,Clayey,7.7,Low,24,2068,82,Bihar,February,April,111,Rust,Crop Rotation,Potash,74,103,
Apricot,MTU1010,Rabi,Clayey,5.7,Medium,30,1384,82,Bihar,April,April,150,Mildew,Biological Control,NPK,42,13,
Apricot,RD 2035,Zaid,Black Soil,6.3,High,20,468,47,Kerala,August,December,196,Leaf Spot,Biological Control,DAP,32,114,
Apricot,DHM 117,Kharif,Clayey,7.1,Medium,20,1525,64,Bihar,March,March,83,Blight,Neem Oil Spray,Nitrogen,84,30,
Apricot,LBG 20,Kharif,Sandy Loam,7.7,Medium,19,1938,80,Odisha,December,February,76,Blight,Chemical Pesticide,Compost,37,57,
Apricot,Co 99004,Rabi,Sandy Loam,6.6,High,24,1886,76,Rajasthan,August,April,64,Leaf Spot,Chemical Pesticide,DAP,31,81,
Apricot,PL 639,Kharif,Sandy Loam,5.7,Low,34,619,45,Uttar Pradesh,May,September,73,Rust,Neem Oil Spray,Nitrogen,39,92,
Apricot,Kufri Bahar,Rabi,Clayey,5.8,Low,34,1883,51,Tamil Nadu,February,April,150,Mildew,Chemical Pesticide,Nitrogen,31,13,
Apricot,ICTP 8203,Zaid,Black Soil,6,High,30,2079,67,Madhya Pradesh,June,November,134,Wilt,Neem Oil Spray,NPK,39,110,
Apricot,Morden,Rabi,Alluvial,6.8,High,32,2092,44,Telangana,June,June,182,Bacterial Blight,Crop Rotation,Potash,85,88,
Apricot,Arka Nidhi,Rabi,Sandy Loam,7.8,Low,36,693,57,Rajasthan,August,September,65,Mildew,Chemical Pesticide,DAP,60,44,
Arecanut,PL 406,Annual,Alluvial,7.1,Low,20,769,89,Uttar Pradesh,June,October,99,Blight,Biological Control,NPK,112,29,
Arecanut,Samba Mahsuri,Zaid,Loamy,7.2,Medium,35,1847,69,Gujarat,May,June,177,Blight,Integrated Pest Management,Potash,55,34,
Arecanut,Kranti,Zaid,Alluvial,7.2,High,33,1246,69,Tamil Nadu,August,February,137,Mildew,Chemical Pesticide,Potash,63,140,
Arecanut,ICTP 8203,Zaid,Loamy,5.6,Low,24,886,46,Uttar Pradesh,August,October,74,Rust,Neem Oil Spray,Potash,50,19,
Arecanut,KBSH 1,Zaid,Black Soil,6,High,28,1503,42,Rajasthan,October,January,156,Bacterial Blight,Biological Control,NPK,36,121,
Arecanut,PU 31,Kharif,Clayey,6.5,Low,29,869,81,Tamil Nadu,July,February,84,Blight,Integrated Pest Management,NPK,23,23,
Arecanut,Pusa Masoor 5,Rabi,Loamy,6.5,Low,18,2177,40,Maharashtra,June,May,78,Leaf Spot,Crop Rotation,NPK,111,10,
Arecanut,Pusa Bold,Rabi,Clayey,7.1,Medium,35,323,70,Telangana,December,March,140,Bacterial Blight,Biological Control,NPK,46,118,
Arecanut,Pusa Sawani,Rabi,Clayey,6.8,Low,23,1806,63,Haryana,July,April,100,Leaf Spot,Neem Oil Spray,Potash,29,48,
Arecanut,Pusa Basmati 1121,Zaid,Loamy,7.3,Medium,37,1155,62,Karnataka,October,June,105,Bacterial Blight,Chemical Pesticide,DAP,91,110,
Ashwagandha,UPAS 120,Annual,Black Soil,7.5,High,37,1125,43,Kerala,October,November,130,Mildew,Chemical Pesticide,Nitrogen,25,32,
Ashwagandha,Kadiri 6,Kharif,Clayey,5.6,High,29,1954,57,Haryana,November,October,174,Bacterial Blight,Chemical Pesticide,Compost,49,39,
Ashwagandha,Pusa 256,Rabi,Loamy,6.3,High,19,953,82,West Bengal,July,January,185,Leaf Spot,Biological Control,Potash,28,23,
Ashwagandha,ML 365,Kharif,Alluvial,5.9,High,32,2116,83,Punjab,July,March,146,Wilt,Chemical Pesticide,Potash,40,146,
Ashwagandha,Kranti,Rabi,Loamy,6.3,High,30,1144,62,Rajasthan,July,December,102,Bacterial Blight,Biological Control,Compost,66,120,
Ashwagandha,RHB 121,Zaid,Clayey,7.7,Low,27,1595,87,Tamil Nadu,June,May,170,Bacterial Blight,Chemical Pesticide,Potash,65,114,
Ashwagandha,RD 2552,Annual,Black Soil,5.6,Medium,32,1813,87,Bihar,December,August,163,Wilt,Chemical Pesticide,Compost,85,122,
Ashwagandha,Co 86032,Rabi,Alluvial,6.5,Low,38,812,85,Haryana,September,December,171,Bacterial Blight,Neem Oil Spray,Nitrogen,74,57,
Ashwagandha,Varuna,Annual,Black Soil,6.1,Medium,33,2166,79,Uttar Pradesh,September,October,133,Leaf Spot,Integrated Pest Management,Nitrogen,94,85,
Ashwagandha,IR36,Rabi,Alluvial,6.8,High,25,1574,63,Odisha,January,July,94,Blight,Chemical Pesticide,DAP,57,150,
Banana,Varuna,Annual,Clayey,6,High,37,947,76,Odisha,January,February,182,Leaf Spot,Chemical Pesticide,NPK,94,50,
Banana,RT 46,Zaid,Alluvial,6.9,High,20,1286,57,Rajasthan,February,August,146,Wilt,Biological Control,NPK,64,66,
Banana,JG 11,Zaid,Black Soil,6,Low,27,1784,41,Kerala,February,February,104,Bacterial Blight,Crop Rotation,Potash,86,27,
Banana,UPAS 120,Rabi,Sandy Loam,7.2,High,28,724,63,Punjab,January,December,175,Bacterial Blight,Integrated Pest Management,Compost,67,90,
Banana,JG 14,Annual,Alluvial,5.6,Low,22,402,48,Uttar Pradesh,February,May,148,Rust,Chemical Pesticide,DAP,49,34,
Banana,Rohini,Kharif,Clayey,7.4,Low,33,1174,41,Haryana,January,January,75,Wilt,Biological Control,Potash,40,76,
Banana,Nantes,Rabi,Black Soil,7.3,Low,28,1222,52,Odisha,January,June,104,Bacterial Blight,Neem Oil Spray,Nitrogen,78,115,
Banana,MACS 450,Zaid,Loamy,6.3,Medium,37,2150,75,Kerala,January,December,150,Bacterial Blight,Chemical Pesticide,Potash,85,26,
Banana,Varsha Uphar,Rabi,Loamy,6.6,Medium,18,1797,52,Andhra Pradesh,August,May,131,Wilt,Chemical Pesticide,DAP,67,136,
Banana,TMV 7,Rabi,Sandy Loam,6.1,High,23,620,64,Punjab,October,May,70,Wilt,Neem Oil Spray,Compost,77,130,
Barley,Pusa Drumhead,Rabi,Clayey,6.2,High,37,1534,60,Punjab,June,July,97,Rust,Neem Oil Spray,NPK,53,35,
Barley,N53,Kharif,Black Soil,6.9,Low,38,1178,68,Maharashtra,October,February,62,Bacterial Blight,Crop Rotation,Nitrogen,38,87,
Barley,DHM 117,Zaid,Clayey,6.5,Low,23,714,63,West Bengal,October,February,140,Wilt,Crop Rotation,Potash,62,11,
Barley,Asha,Zaid,Clayey,6.5,Low,25,630,58,Madhya Pradesh,February,October,81,Leaf Spot,Chemical Pesticide,Potash,84,35,
Barley,CSH 16,Kharif,Loamy,6.3,Low,25,1632,66,Kerala,January,July,200,Blight,Biological Control,Compost,67,68,
Barley,Varsha Uphar,Zaid,Clayey,7.7,Low,32,1665,46,Haryana,March,May,77,Leaf Spot,Crop Rotation,Nitrogen,79,21,
Barley,Bunny Bt,Kharif,Clayey,6.4,Low,28,1096,43,Odisha,August,March,144,Blight,Integrated Pest Management,Nitrogen,59,50,
Barley,JG 11,Kharif,Black Soil,6.1,High,23,744,65,Madhya Pradesh,March,April,176,Mildew,Chemical Pesticide,Compost,108,118,
Barley,Arka Anamika,Zaid,Sandy Loam,6,Low,27,1248,64,Rajasthan,October,February,76,Bacterial Blight,Chemical Pesticide,Nitrogen,83,60,
Barley,Swarna,Rabi,Clayey,5.8,High,23,1033,51,West Bengal,July,December,79,Wilt,Biological Control,Potash,93,103,
Basil,Kranti,Zaid,Clayey,6.4,Low,21,362,85,Haryana,November,January,131,Blight,Biological Control,NPK,70,150,
Basil,TC 25,Kharif,Loamy,7.3,Medium,34,851,64,Andhra Pradesh,December,March,97,Bacterial Blight,Integrated Pest Management,NPK,60,53,
Basil,RD 2668,Rabi,Alluvial,6.2,Medium,38,961,79,Uttar Pradesh,January,July,191,Leaf Spot,Integrated Pest Management,Nitrogen,84,23,
Basil,RD 2552,Annual,Loamy,6.1,Low,23,390,72,Bihar,July,January,94,Bacterial Blight,Biological Control,NPK,30,84,
Basil,MACS 450,Kharif,Black Soil,7.1,Medium,26,572,85,West Bengal,September,June,68,Rust,Biological Control,DAP,81,18,
Basil,Swarna,Kharif,Alluvial,5.6,High,18,414,82,Karnataka,February,November,150,Leaf Spot,Chemical Pesticide,DAP,47,107,
Basil,Kalyan Sona,Zaid,Sandy Loam,7.6,Medium,25,1228,56,Gujarat,May,December,84,Bacterial Blight,Crop Rotation,Nitrogen,23,42,
Basil,Pratap Makka 5,Rabi,Black Soil,6.4,High,20,970,42,West Bengal,April,August,137,Leaf Spot,Crop Rotation,Potash,116,68,
Basil,JS 95-60,Rabi,Alluvial,6.8,Medium,30,643,49,Karnataka,February,March,158,Leaf Spot,Biological Control,Compost,76,24,
Basil,Vijay,Kharif,Black Soil,7.4,Medium,36,575,88,Uttar Pradesh,July,January,177,Blight,Chemical Pesticide,Compost,106,111,
Beans,Kufri Bahar,Rabi,Black Soil,6.1,Low,26,894,82,Gujarat,September,March,138,Leaf Spot,Crop Rotation,DAP,60,49,
Beans,Pusa Bold,Zaid,Loamy,6.9,Low,38,773,77,Telangana,June,April,89,Leaf Spot,Biological Control,Compost,119,137,
Beans,PU 31,Annual,Loamy,6.9,Low,22,1172,85,Bihar,April,August,161,Blight,Neem Oil Spray,Nitrogen,62,101,
Beans,Pusa Snowball,Zaid,Alluvial,7.4,High,22,2136,67,Gujarat,May,July,131,Leaf Spot,Neem Oil Spray,NPK,38,39,
Beans,Pusa Purple Long,Kharif,Loamy,5.7,Low,34,2197,75,Kerala,November,February,132,Leaf Spot,Neem Oil Spray,DAP,66,146,
Beans,UPAS 120,Zaid,Sandy Loam,5.7,Low,19,1315,46,Haryana,September,August,82,Rust,Biological Control,Nitrogen,87,107,
Beans,GPU 45,Zaid,Black Soil,5.9,Low,21,1709,87,Maharashtra,October,April,191,Rust,Integrated Pest Management,Potash,58,148,
Beans,ICTP 8203,Annual,Black Soil,5.9,Low,26,561,84,Kerala,August,October,133,Blight,Chemical Pesticide,NPK,52,113,
Beans,T9,Zaid,Alluvial,7.2,Medium,24,1391,90,Uttar Pradesh,July,October,102,Leaf Spot,Neem Oil Spray,Nitrogen,72,141,
Beans,JS 95-60,Rabi,Black Soil,5.6,Medium,37,839,60,Haryana,April,October,86,Wilt,Neem Oil Spray,Nitrogen,101,84,
Beetroot,KBSH 41,Rabi,Alluvial,5.6,Low,23,1717,81,Tamil Nadu,October,February,159,Wilt,Crop Rotation,Compost,30,99,
Beetroot,Mallika Bt,Rabi,Loamy,7.5,High,23,1698,73,Punjab,November,February,164,Bacterial Blight,Chemical Pesticide,NPK,100,13,
Beetroot,IR36,Kharif,Loamy,7.7,High,21,1038,83,West Bengal,August,July,173,Mildew,Biological Control,DAP,88,51,
Beetroot,JG 11,Kharif,Sandy Loam,7.7,Low,19,1831,47,Madhya Pradesh,November,December,169,Bacterial Blight,Integrated Pest Management,Compost,63,99,
Beetroot,NRC 37,Rabi,Alluvial,7.2,Medium,23,1749,46,Telangana,May,February,190,Leaf Spot,Chemical Pesticide,NPK,80,109,
Beetroot,Vivek QPM 9,Zaid,Loamy,7.4,High,26,1993,59,Rajasthan,November,August,89,Blight,Crop Rotation,Nitrogen,105,29,
Beetroot,TMV 7,Kharif,Clayey,7.4,Medium,33,332,78,Rajasthan,October,February,181,Mildew,Neem Oil Spray,Potash,111,113,
Beetroot,ICPL 87119,Rabi,Loamy,5.6,Low,22,1605,84,Punjab,May,May,124,Bacterial Blight,Chemical Pesticide,Compost,105,85,
Beetroot,Kalyan Sona,Kharif,Black Soil,5.6,Low,31,1406,74,Uttar Pradesh,September,July,134,Rust,Crop Rotation,Nitrogen,105,72,
Beetroot,LBG 20,Zaid,Black Soil,7.6,Medium,30,1311,54,Punjab,October,May,157,Mildew,Neem Oil Spray,Nitrogen,46,45,
Bitter Gourd,Arka Anamika,Annual,Alluvial,7.6,High,32,1215,64,Madhya Pradesh,July,April,127,Mildew,Crop Rotation,NPK,81,22,
Bitter Gourd,RCH2 Bt,Zaid,Loamy,5.8,Medium,22,1943,47,Odisha,February,April,155,Rust,Biological Control,NPK,112,88,
Bitter Gourd,RD 2035,Zaid,Sandy Loam,7.6,Medium,38,523,48,Andhra Pradesh,April,November,77,Leaf Spot,Chemical Pesticide,Potash,36,14,
Bitter Gourd,Varsha Uphar,Zaid,Clayey,5.9,High,21,970,45,West Bengal,August,May,183,Leaf Spot,Biological Control,NPK,25,14,
Bitter Gourd,Lok 1,Rabi,Clayey,5.9,Medium,19,1625,61,Odisha,May,March,85,Rust,Neem Oil Spray,Compost,88,96,
Bitter Gourd,HD 2967,Annual,Sandy Loam,6.7,Low,36,702,60,Andhra Pradesh,March,June,129,Wilt,Integrated Pest Management,DAP,30,86,
Bitter Gourd,CSV 15,Annual,Black Soil,7.2,Medium,36,1405,63,Rajasthan,July,April,117,Mildew,Neem Oil Spray,Compost,96,45,
Bitter Gourd,Kranti,Zaid,Clayey,6,High,18,1561,88,West Bengal,July,June,126,Mildew,Biological Control,DAP,107,60,
Bitter Gourd,JG 11,Kharif,Loamy,7.3,High,27,1209,84,Rajasthan,January,August,149,Mildew,Integrated Pest Management,Compost,94,107,
Bitter Gourd,Swarna,Annual,Loamy,6.7,High,34,537,42,Andhra Pradesh,July,July,98,Bacterial Blight,Crop Rotation,NPK,43,57,
Black Gram,Vivek QPM 9,Rabi,Alluvial,5.8,Low,31,1335,76,Tamil Nadu,February,June,103,Leaf Spot,Neem Oil Spray,Nitrogen,69,17,
Black Gram,PL 639,Kharif,Clayey,6,Low,18,1391,53,Odisha,June,January,196,Mildew,Chemical Pesticide,Potash,28,128,
Black Gram,ICPL 87119,Annual,Black Soil,6.2,High,24,1091,79,Bihar,September,January,86,Leaf Spot,Chemical Pesticide,Potash,117,45,
Black Gram,Pratap Makka 5,Kharif,Sandy Loam,5.5,High,29,1817,65,West Bengal,July,January,113,Leaf Spot,Neem Oil Spray,NPK,35,114,
Black Gram,T9,Zaid,Alluvial,7.6,High,22,1521,76,Haryana,July,August,194,Mildew,Biological Control,Compost,38,101,
Black Gram,Pusa Basmati 1509,Annual,Clayey,7.2,Medium,23,1437,45,Haryana,April,September,104,Blight,Integrated Pest Management,Compost,21,88,
Black Gram,Golden Acre,Rabi,Clayey,5.7,Medium,38,1130,67,Maharashtra,February,September,197,Bacterial Blight,Biological Control,DAP,96,98,
Black Gram,RT 46,Kharif,Black Soil,6.7,Low,32,981,65,Madhya Pradesh,December,June,154,Leaf Spot,Biological Control,DAP,51,36,
Black Gram,Kufri Jyoti,Rabi,Sandy Loam,5.6,High,19,1350,51,Gujarat,March,November,90,Wilt,Neem Oil Spray,NPK,64,68,
Black Gram,Arka Anamika,Annual,Loamy,6.2,High,31,1780,65,Odisha,February,November,150,Rust,Chemical Pesticide,Nitrogen,88,22,
Black Pepper,RD 2668,Rabi,Loamy,7.4,High,36,576,71,Tamil Nadu,December,June,127,Bacterial Blight,Neem Oil Spray,Nitrogen,45,38,
Black Pepper,PBW 343,Rabi,Sandy Loam,7.5,Medium,25,992,63,Andhra Pradesh,March,February,127,Bacterial Blight,Crop Rotation,Potash,27,94,
Black Pepper,HD 2967,Rabi,Alluvial,7.1,Low,35,407,52,Bihar,July,May,85,Mildew,Neem Oil Spray,Compost,50,94,
Black Pepper,KBSH 1,Kharif,Black Soil,6.9,Low,19,2059,60,Andhra Pradesh,September,December,157,Leaf Spot,Neem Oil Spray,NPK,94,67,
Black Pepper,Kufri Jyoti,Zaid,Black Soil,6.8,High,24,1623,42,Madhya Pradesh,November,March,186,Mildew,Neem Oil Spray,Compost,115,24,
Black Pepper,Golden Acre,Rabi,Black Soil,7.7,Medium,22,1368,72,Karnataka,March,June,78,Mildew,Crop Rotation,Compost,79,49,
Black Pepper,TAG 24,Annual,Loamy,7.7,High,31,714,76,Andhra Pradesh,January,November,107,Leaf Spot,Chemical Pesticide,DAP,29,74,
Black Pepper,DHM 117,Rabi,Sandy Loam,6.9,High,37,1368,40,Andhra Pradesh,June,October,142,Bacterial Blight,Biological Control,Potash,32,71,
Black Pepper,Agrifound Light Red,Zaid,Loamy,6.6,High,32,885,63,Maharashtra,October,October,170,Blight,Neem Oil Spray,Potash,104,66,
Black Pepper,Rohini,Annual,Black Soil,6.5,Low,31,1637,43,Telangana,September,January,175,Blight,Integrated Pest Management,Nitrogen,108,16,
Blueberry,Pusa Masoor 5,Zaid,Clayey,7,High,34,1206,81,West Bengal,June,May,88,Bacterial Blight,Neem Oil Spray,DAP,54,108,
Blueberry,Ganga 5,Zaid,Alluvial,6.7,Low,19,1818,64,Punjab,January,January,150,Rust,Neem Oil Spray,Potash,48,95,
Blueberry,Kufri Pukhraj,Zaid,Alluvial,7.1,High,26,300,74,Uttar Pradesh,January,December,136,Rust,Crop Rotation,NPK,113,66,
Blueberry,Kufri Chipsona 1,Kharif,Alluvial,5.6,Low,18,872,47,Bihar,May,February,91,Mildew,Crop Rotation,Potash,115,14,
Blueberry,Agrifound Light Red,Annual,Loamy,7.6,Low,19,1362,51,Punjab,December,April,131,Blight,Chemical Pesticide,NPK,75,122,
Blueberry,Co 86032,Zaid,Loamy,6.5,High,22,1164,55,Gujarat,October,August,200,Blight,Biological Control,NPK,59,28,
Blueberry,Kufri Bahar,Zaid,Loamy,5.6,High,24,1288,54,Bihar,December,October,183,Blight,Biological Control,NPK,81,147,
Blueberry,IR36,Annual,Alluvial,5.9,High,20,1299,88,Telangana,February,November,74,Leaf Spot,Crop Rotation,Nitrogen,116,37,
Blueberry,PU 31,Annual,Black Soil,5.6,Medium,18,779,56,West Bengal,September,December,171,Blight,Chemical Pesticide,DAP,87,16,
Blueberry,CSV 20,Kharif,Sandy Loam,6.3,High,38,844,71,Tamil Nadu,November,December,141,Blight,Biological Control,Potash,43,11,
Bottle Gourd,Arka Anamika,Zaid,Black Soil,6.1,Medium,32,1124,63,Andhra Pradesh,December,December,144,Bacterial Blight,Crop Rotation,Potash,67,124,
Bottle Gourd,JS 335,Annual,Loamy,5.5,Low,30,1265,46,Uttar Pradesh,October,December,108,Wilt,Biological Control,Nitrogen,65,146,
Bottle Gourd,GG 20,Zaid,Alluvial,5.9,Low,27,2096,43,Andhra Pradesh,December,May,80,Bacterial Blight,Crop Rotation,Potash,107,12,
Bottle Gourd,CO 2,Annual,Loamy,7.4,High,27,427,47,Madhya Pradesh,April,June,119,Mildew,Crop Rotation,DAP,116,81,
Bottle Gourd,Rohini,Kharif,Clayey,6.4,Medium,19,696,50,Kerala,June,February,198,Rust,Integrated Pest Management,Potash,110,96,
Bottle Gourd,Arka Shirish,Zaid,Black Soil,6.2,Medium,23,333,73,Kerala,July,September,196,Mildew,Integrated Pest Management,DAP,85,142,
Bottle Gourd,T 13,Rabi,Loamy,7.5,High,19,1722,82,Bihar,June,June,109,Rust,Biological Control,Nitrogen,54,68,
Bottle Gourd,KBSH 1,Kharif,Sandy Loam,7.2,Medium,28,1051,81,Madhya Pradesh,October,March,70,Leaf Spot,Chemical Pesticide,DAP,75,139,
Bottle Gourd,Pant U 19,Rabi,Black Soil,5.5,Low,29,397,65,Kerala,January,April,134,Mildew,Neem Oil Spray,Compost,37,77,
Bottle Gourd,HD 2967,Zaid,Black Soil,6.3,Low,38,831,81,Tamil Nadu,November,April,63,Wilt,Chemical Pesticide,Compost,22,85,
Brinjal,ML 365,Rabi,Black Soil,6.9,Medium,28,1578,44,Punjab,March,August,189,Bacterial Blight,Neem Oil Spray,DAP,108,109,
Brinjal,Japanese White,Kharif,Clayey,7.6,Low,23,819,69,Uttar Pradesh,July,November,63,Bacterial Blight,Biological Control,Nitrogen,51,14,
Brinjal,Pusa Basmati 1121,Kharif,Clayey,7.7,High,30,1714,85,Rajasthan,June,March,174,Mildew,Neem Oil Spray,NPK,44,33,
Brinjal,Arka Vikas,Kharif,Loamy,6.8,Low,27,1020,68,Bihar,October,November,176,Rust,Chemical Pesticide,DAP,23,113,
Brinjal,LBG 20,Zaid,Black Soil,5.8,Medium,34,520,59,Karnataka,June,September,172,Blight,Chemical Pesticide,Potash,73,112,
Brinjal,WH 1105,Annual,Black Soil,6.6,High,30,2012,43,West Bengal,April,July,187,Bacterial Blight,Neem Oil Spray,NPK,52,47,
Brinjal,HD 3086,Rabi,Sandy Loam,7.8,High,35,2115,54,Tamil Nadu,November,January,133,Bacterial Blight,Crop Rotation,DAP,89,124,
Brinjal,Varsha Uphar,Kharif,Clayey,6.7,Medium,36,2159,83,Madhya Pradesh,October,September,102,Bacterial Blight,Neem Oil Spray,Nitrogen,83,70,
Brinjal,Arka Rakshak,Annual,Loamy,7.8,Medium,22,2009,46,Rajasthan,July,March,83,Wilt,Integrated Pest Management,NPK,34,29,
Brinjal,Pratap Makka 5,Rabi,Loamy,7.6,Low,22,758,68,Andhra Pradesh,January,September,74,Bacterial Blight,Neem Oil Spray,Nitrogen,72,44,
Cabbage,DHM 117,Rabi,Loamy,7.2,Medium,30,1497,76,Telangana,September,November,81,Blight,Chemical Pesticide,Nitrogen,107,26,
Cabbage,Varuna,Annual,Alluvial,6.1,High,32,368,46,Haryana,April,September,151,Leaf Spot,Crop Rotation,Nitrogen,31,102,
Cabbage,ADT 43,Annual,Loamy,6.4,Low,25,1830,57,Rajasthan,January,July,135,Bacterial Blight,Chemical Pesticide,NPK,60,30,
Cabbage,WH 1105,Kharif,Clayey,5.7,Low,27,1559,82,Uttar Pradesh,May,December,118,Rust,Crop Rotation,NPK,45,147,
Cabbage,JG 11,Annual,Alluvial,7.6,High,26,2063,43,West Bengal,July,July,135,Blight,Integrated Pest Management,Potash,120,117,
Cabbage,Kalyan Sona,Rabi,Loamy,7.5,High,18,355,59,Maharashtra,June,December,191,Leaf Spot,Biological Control,Compost,117,67,
Cabbage,Pusa Drumhead,Rabi,Black Soil,7.3,High,18,1490,83,West Bengal,August,November,103,Blight,Neem Oil Spray,Potash,117,68,
Cabbage,MTU1010,Kharif,Clayey,6.2,Medium,28,514,76,Maharashtra,May,February,186,Blight,Neem Oil Spray,Nitrogen,60,62,
Cabbage,UPAS 120,Rabi,Alluvial,6.3,Medium,38,458,48,Gujarat,June,October,192,Blight,Integrated Pest Management,Potash,32,138,
Cabbage,NRC 37,Zaid,Black Soil,7,Low,26,1317,55,Maharashtra,August,May,100,Mildew,Chemical Pesticide,Potash,102,129,
Cardamom,Co 86032,Kharif,Loamy,6.1,Medium,33,1194,52,Kerala,November,January,148,Leaf Spot,Chemical Pesticide,DAP,85,50,
Cardamom,JL 24,Zaid,Black Soil,6.1,Medium,34,671,52,Haryana,February,January,190,Bacterial Blight,Biological Control,Nitrogen,77,90,
Cardamom,Pusa Red,Zaid,Loamy,6,Low,28,1793,60,Maharashtra,March,December,115,Leaf Spot,Crop Rotation,DAP,38,129,
Cardamom,PL 406,Annual,Clayey,7.6,Low,21,1961,53,Andhra Pradesh,September,November,83,Leaf Spot,Crop Rotation,DAP,44,22,
Cardamom,RHB 121,Annual,Clayey,6.5,Low,28,1607,40,Uttar Pradesh,December,April,191,Wilt,Integrated Pest Management,Compost,79,54,
Cardamom,NCS 145 Bt,Zaid,Black Soil,5.6,Medium,38,1175,44,West Bengal,March,April,136,Rust,Chemical Pesticide,Compost,109,142,
Cardamom,ML 365,Rabi,Clayey,7.6,Low,23,1785,41,Bihar,September,February,161,Leaf Spot,Chemical Pesticide,DAP,102,133,
Cardamom,JG 14,Zaid,Clayey,6.8,Medium,37,1207,86,Karnataka,August,December,181,Leaf Spot,Integrated Pest Management,NPK,42,142,
Cardamom,Agrifound Light Red,Zaid,Clayey,5.8,Medium,27,844,50,West Bengal,February,February,110,Leaf Spot,Integrated Pest Management,Nitrogen,105,116,
Cardamom,Kalyan Sona,Rabi,Alluvial,5.7,Low,31,1973,83,Punjab,April,November,153,Blight,Biological Control,DAP,45,77,
Carrot,Kalyan Sona,Rabi,Loamy,6.3,Medium,28,1546,62,Punjab,February,June,89,Leaf Spot,Neem Oil Spray,Nitrogen,114,128,
Carrot,Ganga 5,Kharif,Loamy,6.1,Low,28,1014,73,Karnataka,February,December,117,Bacterial Blight,Biological Control,NPK,68,75,
Carrot,WH 1105,Zaid,Sandy Loam,6.7,Low,24,582,77,Punjab,October,November,200,Wilt,Chemical Pesticide,Potash,48,16,
Carrot,Varsha Uphar,Rabi,Loamy,5.9,Low,30,604,50,Bihar,September,October,162,Leaf Spot,Crop Rotation,Nitrogen,52,31,
